Name,ImageURL,Description,WebsiteUrl,TwitterUrl,SponsorLevel
craigslist,http://www.perlconference.us/tpc-2017-dc/img/sponsors/craigslist.png,,www.craigslist.org,craigslist,Diamond
cPanel,http://www.perlconference.us/tpc-2017-dc/img/sponsors/cPanel.png,,cpanel.com,cpanel,Platinum
BlueHost,http://www.perlconference.us/tpc-2017-dc/img/sponsors/bluehost.png,,bluehost.com,bluehost,Silver
"Grant Street Group",http://www.perlconference.us/tpc-2017-dc/img/sponsors/gsg-logo.png,,grantstreet.com,,Bronze
Assurant,http://www.perlconference.us/tpc-2017-dc/img/sponsors/assurant.png,,assurant.com,assurant,Bronze
"Infinity Interactive",http://www.perlconference.us/tpc-2017-dc/img/sponsors/infinityinteractive.png,,iinteractive.com,iinteractive,"Tutorial Session/App"
"Think Geek",http://www.perlconference.us/tpc-2017-dc/img/sponsors/tg_color_small.png,,https://thinkgeek.com,thinkgeek,"TPC Event sponsor $500"
MongoDB,http://www.perlconference.us/tpc-2017-dc/img/sponsors/mongodb.png,,mongodb.com,mongodb,"Tutorial Session"
"Perl Careers",http://www.perlconference.us/tpc-2017-dc/img/sponsors/perl-careers.png,,perl.careers,perlcareers,"TPC 2017 DC Sponsor"
"ActiveState",http://www.perlconference.us/tpc-2017-dc/img/sponsors/activestate.png,,activestate.com,ActiveState,"TPC 2017 DC Sponsor"
